instanceID	dataIDs	label_set	non_label
tweet0	0	Noun,Pronoun,Adjective,Verb	-
tweet1	1	Noun,Pronoun,Adjective,Verb	-
tweet2	2	Noun,Pronoun,Adjective,Verb	-
tweet3	3	Noun,Pronoun,Adjective,Verb	-
tweet4	4	Noun,Pronoun,Adjective,Verb	-
tweet5	5	Noun,Pronoun,Adjective,Verb	-
tweet6	6	Noun,Pronoun,Adjective,Verb	-
tweet7	7	Noun,Pronoun,Adjective,Verb	-
tweet8	8	Noun,Pronoun,Adjective,Verb	-
tweet9	9	Noun,Pronoun,Adjective,Verb	-
tweet10	10	Noun,Pronoun,Adjective,Verb	-
tweet11	11	Noun,Pronoun,Adjective,Verb	-
tweet12	12	Noun,Pronoun,Adjective,Verb	-
tweet13	13	Noun,Pronoun,Adjective,Verb	-
tweet14	14	Noun,Pronoun,Adjective,Verb	-
tweet15	15	Noun,Pronoun,Adjective,Verb	-
tweet16	16	Noun,Pronoun,Adjective,Verb	-
tweet17	17	Noun,Pronoun,Adjective,Verb	-
tweet18	18	Noun,Pronoun,Adjective,Verb	-
tweet19	19	Noun,Pronoun,Adjective,Verb	-
tweet20	20	Noun,Pronoun,Adjective,Verb	-
tweet21	21	Noun,Pronoun,Adjective,Verb	-
tweet22	22	Noun,Pronoun,Adjective,Verb	-
tweet23	23	Noun,Pronoun,Adjective,Verb	-
tweet24	24	Noun,Pronoun,Adjective,Verb	-
tweet25	25	Noun,Pronoun,Adjective,Verb	-
tweet26	26	Noun,Pronoun,Adjective,Verb	-
tweet27	27	Noun,Pronoun,Adjective,Verb	-
tweet28	28	Noun,Pronoun,Adjective,Verb	-
tweet29	29	Noun,Pronoun,Adjective,Verb	-
tweet30	30	Noun,Pronoun,Adjective,Verb	-
tweet31	31	Noun,Pronoun,Adjective,Verb	-
tweet32	32	Noun,Pronoun,Adjective,Verb	-
tweet33	33	Noun,Pronoun,Adjective,Verb	-
tweet34	34	Noun,Pronoun,Adjective,Verb	-
tweet35	35	Noun,Pronoun,Adjective,Verb	-
tweet36	36	Noun,Pronoun,Adjective,Verb	-
tweet37	37	Noun,Pronoun,Adjective,Verb	-
tweet38	38	Noun,Pronoun,Adjective,Verb	-
tweet39	39	Noun,Pronoun,Adjective,Verb	-
tweet40	40	Noun,Pronoun,Adjective,Verb	-
tweet41	41	Noun,Pronoun,Adjective,Verb	-
tweet42	42	Noun,Pronoun,Adjective,Verb	-
tweet43	43	Noun,Pronoun,Adjective,Verb	-
tweet44	44	Noun,Pronoun,Adjective,Verb	-
tweet45	45	Noun,Pronoun,Adjective,Verb	-
tweet46	46	Noun,Pronoun,Adjective,Verb	-
tweet47	47	Noun,Pronoun,Adjective,Verb	-
tweet48	48	Noun,Pronoun,Adjective,Verb	-
tweet49	49	Noun,Pronoun,Adjective,Verb	-
tweet50	50	Noun,Pronoun,Adjective,Verb	-
tweet51	51	Noun,Pronoun,Adjective,Verb	-
tweet52	52	Noun,Pronoun,Adjective,Verb	-
tweet53	53	Noun,Pronoun,Adjective,Verb	-
tweet54	54	Noun,Pronoun,Adjective,Verb	-
tweet55	55	Noun,Pronoun,Adjective,Verb	-
tweet56	56	Noun,Pronoun,Adjective,Verb	-
tweet57	57	Noun,Pronoun,Adjective,Verb	-
tweet58	58	Noun,Pronoun,Adjective,Verb	-
tweet59	59	Noun,Pronoun,Adjective,Verb	-
tweet60	60	Noun,Pronoun,Adjective,Verb	-
tweet61	61	Noun,Pronoun,Adjective,Verb	-
tweet62	62	Noun,Pronoun,Adjective,Verb	-
tweet63	63	Noun,Pronoun,Adjective,Verb	-
tweet64	64	Noun,Pronoun,Adjective,Verb	-
tweet65	65	Noun,Pronoun,Adjective,Verb	-
tweet66	66	Noun,Pronoun,Adjective,Verb	-
tweet67	67	Noun,Pronoun,Adjective,Verb	-
tweet68	68	Noun,Pronoun,Adjective,Verb	-
tweet69	69	Noun,Pronoun,Adjective,Verb	-
tweet70	70	Noun,Pronoun,Adjective,Verb	-
tweet71	71	Noun,Pronoun,Adjective,Verb	-
tweet72	72	Noun,Pronoun,Adjective,Verb	-
tweet73	73	Noun,Pronoun,Adjective,Verb	-
tweet74	74	Noun,Pronoun,Adjective,Verb	-
tweet75	75	Noun,Pronoun,Adjective,Verb	-
tweet76	76	Noun,Pronoun,Adjective,Verb	-
tweet77	77	Noun,Pronoun,Adjective,Verb	-
tweet78	78	Noun,Pronoun,Adjective,Verb	-
tweet79	79	Noun,Pronoun,Adjective,Verb	-
tweet80	80	Noun,Pronoun,Adjective,Verb	-
tweet81	81	Noun,Pronoun,Adjective,Verb	-
tweet82	82	Noun,Pronoun,Adjective,Verb	-
tweet83	83	Noun,Pronoun,Adjective,Verb	-
tweet84	84	Noun,Pronoun,Adjective,Verb	-
tweet85	85	Noun,Pronoun,Adjective,Verb	-
tweet86	86	Noun,Pronoun,Adjective,Verb	-
tweet87	87	Noun,Pronoun,Adjective,Verb	-
tweet88	88	Noun,Pronoun,Adjective,Verb	-
tweet89	89	Noun,Pronoun,Adjective,Verb	-
tweet90	90	Noun,Pronoun,Adjective,Verb	-
tweet91	91	Noun,Pronoun,Adjective,Verb	-
tweet92	92	Noun,Pronoun,Adjective,Verb	-
tweet93	93	Noun,Pronoun,Adjective,Verb	-
tweet94	94	Noun,Pronoun,Adjective,Verb	-
tweet95	95	Noun,Pronoun,Adjective,Verb	-
tweet96	96	Noun,Pronoun,Adjective,Verb	-
tweet97	97	Noun,Pronoun,Adjective,Verb	-
tweet98	98	Noun,Pronoun,Adjective,Verb	-
tweet99	99	Noun,Pronoun,Adjective,Verb	-
tweet100	100	Noun,Pronoun,Adjective,Verb	-
tweet101	101	Noun,Pronoun,Adjective,Verb	-
tweet102	102	Noun,Pronoun,Adjective,Verb	-
tweet103	103	Noun,Pronoun,Adjective,Verb	-
tweet104	104	Noun,Pronoun,Adjective,Verb	-
tweet105	105	Noun,Pronoun,Adjective,Verb	-
tweet106	106	Noun,Pronoun,Adjective,Verb	-
tweet107	107	Noun,Pronoun,Adjective,Verb	-
tweet108	108	Noun,Pronoun,Adjective,Verb	-
tweet109	109	Noun,Pronoun,Adjective,Verb	-
tweet110	110	Noun,Pronoun,Adjective,Verb	-
tweet111	111	Noun,Pronoun,Adjective,Verb	-
tweet112	112	Noun,Pronoun,Adjective,Verb	-
tweet113	113	Noun,Pronoun,Adjective,Verb	-
tweet114	114	Noun,Pronoun,Adjective,Verb	-
tweet115	115	Noun,Pronoun,Adjective,Verb	-
tweet116	116	Noun,Pronoun,Adjective,Verb	-
tweet117	117	Noun,Pronoun,Adjective,Verb	-
tweet118	118	Noun,Pronoun,Adjective,Verb	-
tweet119	119	Noun,Pronoun,Adjective,Verb	-
tweet120	120	Noun,Pronoun,Adjective,Verb	-
